#Magnetic field (mT)	Frequency (GHz)	Normalized transmission
65.0	2.091400600	1.002307090
65.0	2.091420600	1.001550296
65.0	2.091440600	0.999601015
65.0	2.091460600	0.999946527
65.0	2.091480600	0.998404728
65.0	2.091500600	1.000699301
65.0	2.091520600	1.001977754
65.0	2.091540600	0.999656463
65.0	2.091560600	0.997254131
65.0	2.091580600	1.001338414
65.0	2.091600600	1.000167823
65.0	2.091620600	1.001238863
65.0	2.091640700	0.999177500
65.0	2.091660700	1.001853925
65.0	2.091680700	0.998900160
65.0	2.091700700	0.999828547
65.0	2.091720700	1.000340735
65.0	2.091740700	1.000257688
65.0	2.091760700	1.001854643
65.0	2.091780700	1.001699497
65.0	2.091800700	1.000068206
65.0	2.091820700	0.998033939
65.0	2.091840700	1.002681438
65.0	2.091860700	1.001828232
65.0	2.091880800	1.000918765
65.0	2.091900800	1.000556749
65.0	2.091920800	1.001330277
65.0	2.091940800	1.002980290
65.0	2.091960800	1.002481180
65.0	2.091980800	1.000517612
65.0	2.092000800	1.002013165
65.0	2.092020800	1.001869599
65.0	2.092040800	1.002432644
65.0	2.092060800	1.000916008
65.0	2.092080800	1.001352883
65.0	2.092100800	0.999363085
65.0	2.092120800	0.999566144
65.0	2.092140900	1.000045002
65.0	2.092160900	1.001682640
65.0	2.092180900	1.000464739
65.0	2.092200900	1.000444180
65.0	2.092220900	1.001503508
65.0	2.092240900	0.999865481
65.0	2.092260900	1.002193805
65.0	2.092280900	1.003256867
65.0	2.092300900	1.002951559
65.0	2.092320900	0.999992319
65.0	2.092340900	1.000697723
65.0	2.092360900	1.000457167
65.0	2.092381000	1.001489861
65.0	2.092401000	1.004027894
65.0	2.092421000	0.998624561
65.0	2.092441000	1.002115665
65.0	2.092461000	1.001678157
65.0	2.092481000	1.000281301
65.0	2.092501000	1.001337643
65.0	2.092521000	1.000730372
65.0	2.092541000	1.002647016
65.0	2.092561000	1.001652772
65.0	2.092581000	1.000919561
65.0	2.092601000	1.001267464
65.0	2.092621000	0.998978015
65.0	2.092641100	1.000176563
65.0	2.092661100	1.002574718
65.0	2.092681100	1.003587687
65.0	2.092701100	1.000680533
65.0	2.092721100	1.000171395
65.0	2.092741100	1.000417339
65.0	2.092761100	1.000839977
65.0	2.092781100	1.000670464
65.0	2.092801100	1.000186579
65.0	2.092821100	1.001162948
65.0	2.092841100	1.002651411
65.0	2.092861100	1.000251995
65.0	2.092881200	1.000825236
65.0	2.092901200	1.000617552
65.0	2.092921200	1.001551518
65.0	2.092941200	1.003021122
65.0	2.092961200	1.000509282
65.0	2.092981200	1.001326534
65.0	2.093001200	1.001478632
65.0	2.093021200	1.000578485
65.0	2.093041200	1.002156606
65.0	2.093061200	1.000633271
65.0	2.093081200	0.999655469
65.0	2.093101200	1.000104579
65.0	2.093121200	1.001330509
65.0	2.093141300	1.000010695
65.0	2.093161300	0.999724315
65.0	2.093181300	1.001411744
65.0	2.093201300	1.001574066
65.0	2.093221300	1.000407703
65.0	2.093241300	1.001944810
65.0	2.093261300	1.001548051
65.0	2.093281300	1.002958695
65.0	2.093301300	1.002127024
65.0	2.093321300	1.000458938
65.0	2.093341300	0.999963349
65.0	2.093361300	1.001714629
65.0	2.093381400	1.000043201
65.0	2.093401400	0.999968884
65.0	2.093421400	0.999172753
65.0	2.093441400	1.003078451
65.0	2.093461400	1.001039215
65.0	2.093481400	1.000468697
65.0	2.093501400	1.001628775
65.0	2.093521400	1.002567575
65.0	2.093541400	1.002087838
65.0	2.093561400	0.998856392
65.0	2.093581400	1.003296370
65.0	2.093601400	1.002658074
65.0	2.093621400	1.002390972
65.0	2.093641500	1.001759912
65.0	2.093661500	1.000010349
65.0	2.093681500	1.000177359
65.0	2.093701500	1.001846818
65.0	2.093721500	1.001425986
65.0	2.093741500	0.999532732
